products,ar,not_delivery_rate
0,1.00000000000000000000,1.00000000000000000000
1,0.30152622803642426574,0.15505963832243170450
2,0.29989225427989943733,0.09756973542439841973
3,0.30630936227951153324,0.06354590682948891904
4,0.31906318082788671024,0.05032679738562091503
5,0.33496752052947665155,0.05307022919475425910
6,0.33647952929639617553,0.03763177249325815151
7,0.34457801766437684004,0.03042198233562315996
8,0.37737655587470934209,0.02954452195322117357
9,0.38949806949806949807,0.02409266409266409266
10,0.37589735756835191691,0.02963189246983351153
11,0.38139608338597599495,0.02432090966519267214
12,0.40190685735240190686,0.02676934360102676934
13,0.38714733542319749216,0.03605015673981191223
14,0.38936905790838375108,0.02441659464131374244
15,0.39274853801169590643,0.02385964912280701754
16,0.39770114942528735632,0.02068965517241379310
17,0.40810643564356435644,0.02289603960396039604
18,0.41799861014593467686,0.01772063933287004864
19,0.43160000000000000000,0.00960000000000000000
20,0.43340563991323210412,0.03600867678958785249
21,0.46517954298150163221,0.02448313384113166485
22,0.48667512690355329949,0.02664974619289340102
23,0.46104725415070242656,0.05172413793103448276
24,0.48002853067047075606,0.01212553495007132668
25,0.48518518518518518519,0.01851851851851851852
26,0.50160771704180064309,0.00535905680600214362
27,0.55511811023622047244,0.00656167979002624672
28,0.51061173533083645443,0.01123595505617977528
29,0.56149732620320855615,0.01604278074866310160
30,0.54019292604501607717,0.01125401929260450161
31,0.55098039215686274510,0.01372549019607843137
32,0.58247422680412371134,0.01546391752577319588
33,0.50684931506849315068,0.01826484018264840183
34,0.59672131147540983607,0.01311475409836065574
35,0.60400000000000000000,0.00800000000000000000
36,0.51250000000000000000,0.00312500000000000000
37,0.61956521739130434783,0.01630434782608695652
38,0.57286432160804020101,0E-20
39,0.64640883977900552486,0.02209944751381215470
40,0.67832167832167832168,0E-20
41,0.62237762237762237762,0.00699300699300699301
42,0.53623188405797101449,0.02898550724637681159
43,0.63793103448275862069,0.01724137931034482759
44,0.67021276595744680851,0.05319148936170212766
45,0.50000000000000000000,0E-20
46,0.80882352941176470588,0E-20
47,0.78461538461538461538,0.01538461538461538462
48,0.64814814814814814815,0E-20
49,0.76470588235294117647,0.02941176470588235294
50,0.62500000000000000000,0E-20
51,0.78125000000000000000,0E-20
52,0.48888888888888888889,0.15555555555555555556
53,0.82608695652173913043,0.08695652173913043478
54,0.90000000000000000000,0E-20
55,0.48837209302325581395,0E-20
56,0.51851851851851851852,0E-20
57,0.84210526315789473684,0E-20
58,0.61538461538461538462,0E-20
59,0.50000000000000000000,0E-20
60,0.53846153846153846154,0E-20
61,0.66666666666666666667,0.16666666666666666667
62,0.85714285714285714286,0E-20
63,0.36842105263157894737,0E-20
64,0.55555555555555555556,0E-20
65,1.00000000000000000000,0E-20
66,0.90909090909090909091,0E-20
67,0.55555555555555555556,0E-20
68,1.00000000000000000000,0E-20
69,0.83333333333333333333,0E-20
70,1.00000000000000000000,0E-20
71,1.00000000000000000000,0E-20
72,0.10000000000000000000,0E-20
73,0.75000000000000000000,0E-20
74,0.15625000000000000000,0E-20
75,0.25000000000000000000,0E-20
76,0.25000000000000000000,0.41666666666666666667
77,0.66666666666666666667,0E-20
80,0.75000000000000000000,0E-20
81,0.40000000000000000000,0E-20
82,1.00000000000000000000,0E-20
84,1.00000000000000000000,0E-20
87,1.00000000000000000000,0E-20
89,1.00000000000000000000,1.00000000000000000000
90,1.00000000000000000000,0E-20
93,1.00000000000000000000,0E-20
94,1.00000000000000000000,0E-20
97,1.00000000000000000000,0E-20
100,0.60000000000000000000,0E-20
103,1.00000000000000000000,0E-20
105,0.50000000000000000000,0E-20
136,1.00000000000000000000,0E-20
